ICAO,Altitude,PosX,PosY
807D7F,27150,-5.29439,-163.20304
7E7B7F,24400,180.74702,-89.64569
7F8181,23600,-3.79404,-1.50764
798181,24800,90.77065,88.95081
7C8080,24800,180.75293,89.64844
807F7F,23575,176.22926,88.94531
7C8384,24800,-89.24126,-85.41321
7C817F,24775,177.75046,-88.94531
7E7E82,25575,3.77478,-175.39976
788181,24375,182.26109,94.55658
7F7F82,23200,183.77464,91.03546
7E8185,24000,86.20024,30.81757
7F8280,24375,180.77752,94.57031
7E857F,24375,90.7298,-90.36255
7E8181,23200,92.26127,90.35431
7D8080,24400,266.25288,-89.64844
7C8180,25175,179.26974,-91.05194
7D827F,23600,92.26188,88.97827
7F7F7F,25625,96.80612,93.18329
7F7E7F,24400,182.23535,89.65118
7F7E7E,24375,90.76569,89.64569
7D8281,25175,90.75969,-90.35431
7F8489,26825,-87.73531,98.10791
7F7F7E,24375,90.75969,-90.34882
7E807E,24400,182.24121,-90.35431
7F827E,22400,87.74121,89.64844
807E7F,24825,174.6943,90.36255
808184,24800,-86.22354,32.00043
7B897C,24400,0.74135,1.47221
807F7E,22375,87.74107,-90.34882
827F82,25200,89.27051,-88.93158
7F8381,25200,180.76569,-85.41595
828180,24000,2.2495,-172.3806
7E7F82,24800,267.75883,-88.22296
7D8480,24400,182.26132,90.36804
7F7F81,25200,90.75288,-89.65393
7E837F,24400,90.74707,89.64844
7B817F,24400,84.74707,-17.92969
818181,23600,177.72945,-92.4527
7C7E7F,25175,-6.76609,-4.62491
7E8080,24400,90.75288,-89.65393
7E8181,24400,0.75288,1.54335
808780,23975,92.27,-79.81018
7F7F7E,24800,90.75293,89.64569
7F7D80,24800,-3.75298,4.59405
7F8180,24375,266.18937,-89.65393
7F7E7E,21975,-0.77646,1.53134
818081,24000,92.28218,92.46094
7C827F,24800,0.75874,-1.53143
7E8380,24400,-89.24707,89.64844
807E80,27200,186.86444,93.16956
757E81,24000,260.14742,-91.77429
76817D,21600,266.07029,85.42969
7B8480,24400,176.18942,93.91113
838092,28400,92.32091,88.94531
828682,24400,90.75377,-90.31311
80827E,24800,185.28854,94.60052
7F7F7F,26800,84.7834,23.82042
808283,26400,95.28822,91.05743
868181,24800,89.26474,89.67316
80807F,23200,83.24707,-164.94141
7C8380,24400,0.76447,7.7522
7F8183,24800,-2.21782,175.4181
77807F,24800,182.28223,96.69617
8D8281,26400,267.73863,89.64569
7F8A80,24425,174.70605,-89.61823
7C7E81,24000,267.6535,-104.40857
7D8280,24375,176.20129,-92.45544
7F8081,23600,0.72994,-1.52142
878182,25600,264.73559,95.27344
7E7F82,24800,-2.28511,-1.46028
7F8280,22800,266.19429,89.64844
72837D,22000,87.67085,-93.16681
7E817E,24800,182.24698,91.77155
79817E,21600,-89.26469,90.35156
7D8180,23975,90.77756,88.93982
807E81,24375,267.70884,89.64569
7F7E82,27600,8.37025,4.68958
74817E,21600,182.21773,83.31207
76807F,21600,-0.79985,1.56713
838780,25975,99.78218,89.6402
817F80,23950,-89.24036,88.94531
877D7E,24800,92.24707,-90.35431
7D7E7F,24800,-89.21648,-92.44446
77837C,24800,267.75288,95.96832
778280,24800,267.75874,94.56482
7E7F80,24400,180.75288,90.35156
7F847F,24400,-89.24707,90.35156
788980,24400,180.75293,90.35156
808281,24400,-87.75298,-89.65118
7D8180,24400,90.74702,-89.65118
7F8180,23975,-2.25906,178.46862
807D81,24775,90.75279,88.94257
897E7F,24800,0.75293,1.53134
7E7F81,24800,90.75293,89.64844
7E807F,24775,182.28511,90.35156
817D80,24375,182.29107,-90.35156
808080,24775,92.24103,88.23944
87807E,24775,-87.70889,91.05194
807C81,24775,-87.70893,-90.35431
898684,24375,92.2907,92.45819
76807D,24375,174.66367,-88.23944
808180,24400,-89.24707,89.65118
77817E,24400,186.75293,90.34882
818381,24800,267.72958,87.53906
7F8281,24400,90.75856,95.96283
7A8580,24800,176.21777,-93.87268
897F7F,24375,89.25856,-88.94531
7F7F7F,22000,170.2002,-89.65118
79847C,22800,-2.28516,172.18773
7F837E,24400,0.77669,7.66916
84837F,24000,182.24734,-95.25696
908281,25600,-2.21773,-4.60518
858A85,24025,179.26506,89.66492
7D8780,24425,-89.21601,89.64844
808181,22375,183.75095,91.05743
817E7E,23175,-87.75883,-90.35156
7F7E7E,24750,179.24017,-91.76605
77837C,24375,177.75641,-79.80469
7D8282,24400,90.75288,-91.05469
84887F,24775,176.18942,89.64844
838080,24375,-89.25251,88.94257
888281,24375,90.7716,-89.64844
868181,24000,179.24031,-91.73584
818382,25600,182.2792,94.57581
7B8181,23600,84.69438,-19.05304
818280,24000,-89.24707,91.05469
7F8580,24375,182.27915,-91.06018
7B877E,24800,90.74126,93.16956
7E8284,25200,90.75373,-89.64569
7E8180,24400,92.25288,-88.94806
807E81,24800,90.75879,-91.05743
7F7E7F,24750,182.29093,89.64844
817C80,24775,176.18937,88.24219
8C8080,24775,267.72926,-91.75232
818081,24375,182.28511,-91.05469
7F7D7E,24775,-87.71489,-90.34882
7C7E80,24375,176.18937,-89.64569
7E7D7E,21175,89.21773,90.35156
7E7F80,23975,90.75373,93.14484
80827F,23200,71.22359,-14.23019
7E8083,25200,266.2354,86.14929
7D8E7F,24800,96.75293,90.35156
817A7F,24375,182.29107,90.34882
7F8087,24400,5.30621,-175.29042
808184,23975,-86.18956,43.4166
827B80,24375,90.75969,-90.35156
